agent_transcript,audio_emotion
আসসালামু আলাইকুম সোহান বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি দুঃখিত সমস্যাটির জন্য স্যার এখান থেকেতো তো আসলে সার্ভিসটা সম্পূর্ণ বন্ধ করার অপশন নেই তবে আপনাকে যখন স্যার কল করবেন তখন আপনাকে একটু নিশ্চিত থাকতে হবে বা আপনি কাইন্ডলি ট্রাই করবেন লোনের জন্য যখন বলা হবে লোনটা না নিতে স্যার আমি দেখতে পারছি লোন নিয়েছিলেন আরকি বত্রিশ টাকার লোন নিয়া হয়েছিল একটা অ্যামাউন্টে স্যার এখানে তথ্যগুলো শো করছে না কারণ আপনার নাম্বারটা কিছুদিন বন্ধ রেখেছিলেন আপনাকে যে কোডটা দেওয়া হয়েছে চেক করে দেখেছেন আপনি স্যার এখনো আপনার এখানে বারো টাকা আটান্ন পয়সা বকেয়া আছে ঠিক আছে সময় দিবেন চেক করছি জি স্যার আপনার ব্যালেন্সে হচ্ছে টাকা ছিলো সেখান থেকে লোনের জন্য বকেয়া পরিশোধ করা হয়েছে এটা হচ্ছে সকাল ছয়টা আটচল্লিশ মিনিট উনষাট সেকেন্ডে ঠিক আছে নয় টাকা একানব্বই পয়সা প্লাস সাথে এসডি ভ্যাট সারচার্জ দুই টাকা সাতষট্টি পয়সা এখন বকেয়া আছে বারো টাকা আটান্ন পয়সা দুইটা লোন নিয়েছিলেন একটা হচ্ছে বত্রিশ টাকা লোন ছিলো আরেকটা হচ্ছে বাইশ টাকা লোন নিয়েছিলেন বত্রিশ টাকা এবং বাইশ টাকা দুইটা লোনের সাথে এসডি ভ্যাট সারচার্জ দুই টাকা সাতষট্টি পয়সা যোগ হচ্ছে জি লিমিট হচ্ছে জি স্যার আপনার এখানে টোটাল লিমিট সময় দিবেন চল্লিশ টাকা পর্যন্ত স্যার চল্লিশ টাকা ভিতরে আপনি চাইলে দুইবার বা তিনবার লোন নিতে পারবেন স্যার বারো টাকা করে যদি লোন নেন তিনবার নেওয়া যাবে ঠিক আছে আর যেহেতু আপনি মিনিট দিয়ে কথা বলেন মিনিট কম স্যরি মিনিট দিয়ে কথা বললেও স্যার যখন আপনার ব্যালেন্সে কম টাকা থাকবে তখন লোনের জন্য বলা হয় তখন কষ্ট করে কোনো কি ওয়ার্ড প্রেস করবেন না লোন দেওয়া হবে না এই বিষয়ে নিশ্চিত থাকতে পারেন বাট স্যার লোন না নিলে লোনের জন্য বকেয়া পরিশোধ করার কোনো অপশন নেই স্যার ঠিক আছে যদি লোন না নিতেন লোনের জন্য টাকাটা চার্জ হতো না বুঝতে পেরেছি স্যার এইখান থেকে যতটুকু দেখতে পেয়েছি সেইটাই শেয়ার করছি এই বাইরে অন্য কোনোভাবে হেল্প করার অপশন নেই স্যার আপনি ফোনটা এটা স্যার কনফার্ম করা যাচ্ছে না খুবই স্যরি লোন না নিলে লোনের জন্য অ্যাপ্লাই স্যার এখনো বারো টাকা আটান্ন পয়সা লোনের জন্য বকেয়া আছে এই টাকাটাও চার্জ করা হবে ঠিক আছে না নিলে তো দেওয়া হবে না স্যার আপনি আনেন নি বলছেন যদি লোন আপনি না নিতেন তাহলে লোনের জন্য কি টাকা পরিশোধ হতো এটা বন্ধ করার অপশন নেই স্যার লোনের জন্য অ্যাপ্লাই না করলে কখনো অটো লোন দেওয়া হয় না এয়ারটেল থেকে একটু সর্তক থাকবেন সমস্যা হবে না আপনি স্টার ওয়ান ফোর স্যরি স্যার এখান থেকে আমি যেটা সিস্টেম থেকে দেখতে পাচ্ছি সেটাই শেয়ার করেছি এর বাইরে হেল্প করার কোনো অপশন নেই ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকবেন আসসালামু আলাইকুম,A
আসসালামু আলাইকুম মিতা বলছি কিভাবে হেল্প করতে পারি দুঃখিত স্যার সমস্যাটির জন্য বৃহস্পতিবার বলতে আপনি লাস্ট আঠারো তারিখে একটা পঞ্চাশ টাকায় ,
অ্যামাউন্ট রিচার্জ করেছিলেন এবং সেটা তো আপনার মেইন ব্যালেন্সে যোগ হয়েছিলো যোগ হয়ে আপনার ছিষট্টি টাকা ছিলো স্যার আপনি তো মাই এয়ারটেল অ্যাপস থেকে তো ইন্টারনেট ব্যালেন্স নিয়েছিলেন আপনাকে আর সেটা কবে নিয়েছিলেন একটু সময় দিবেন হ্যাঁ আঠারো তারিখে নেওয়া হয়েছে বাট এটার সাথে আপনার মিনিট দেওয়া হয় নি আপনি শুধু ডাটা কিনেছেন তিন জিবি ইন্টারনেট প্যাকেজ নিয়েছেন তাই আপনার ব্যালেন্স থেকে টাকা চার্জ  করা হয়েছে আর এখন আপনি মিনিট নিয়েই তো কথা বলছেন এখন তো কোনো সমস্যা নেই স্যার হুম বলুন আচ্ছা স্যার এই মুহূর্তে নাম্বারে প্রব্লেম বলতে আপনার একটা জিপিআরএস অপশন চালু আছে আপনি আপনার ফোনের সেটিং পেজে জিপিআরএস অপশনটা বন্ধ করে দিবেন এবং স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ ডায়াল করে সম্পূর্ণ ফ্রিতে নিজে থেকে চেক করে দেখতে পারবেন কোনো সার্ভিস চালু আছে কিনা আর মাই টিউন কলার টিউন মাই হেলথ এবং মিসকলড অ্যালার্ট সার্ভিস সহ যাবতীয় সার্ভিস স্টার নাইন হ্যাশ ডায়াল করে অফ করতে পারবেন আমি আপনাকে নিয়মগুলা এসএমএস করে দিয়েছি জাস্ট শুধুমাত্র জিপিআরএসটা বন্ধ করে দিন তাহলে ঠিক হয়ে যাবে আদারওয়াইজ সবকিছু ঠিক আছে কোনো সমস্যা নেই আপনি নিশ্চিন্তে থাকতে পারেন কেমন জিপিআরএস স্যার এটা বন্ধ করে দিবেন জি জি স্যার জি জি হ্যাঁ হ্যাঁ স্যার সবকিছু ঠিক আছে সমস্যা নেই আপনি নিশ্চিন্তে থাকতে পারেন জি স্যার একটা ছোট রিকোয়েস্ট করবো যদি আপনি কিছু মনে না করেন প্লিজ স্যার আমার কলটি কাটার পরে আপনাকে একটা এসএমএস করা হবে টু ডাবল সিক্স ডাবল সিক্স এই নাম্বার থেকে আশা করছি আমার সাথে কথা বলে এবং সার্ভিসটা আপনার খুবই ভালো লেগেছে দয়া করে স্যার আপনার মূল্যবান মতামতটা প্লিজ জানাবেন সম্পূর্ণ  ফ্রিতে আপনার মূল্যবান মতামত খুবই গুরুত্বপূর্ণ আমার কাছে স্যার কেমন কথা বলে ভালো লাগলো এয়ারটেলে কল করার জন্য ধন্যবাদ আল্লাহ হাফেজ ভালো থাকবেন,A
আসসালামু আলাইকমু ডোমেন বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি আচ্ছা স্যার আপনি কিন্তু এখন থেকে স্টার ওয়ান টু ওয়ান স্টার ফোর স্টার ফোর হ্যাশ ডায়াল করে নিজেই চেক করে দেখতে পারবেন কোনো সার্ভিস অ্যাকটিভ আছে কিনা এবং স্টার নাইন হ্যাশ ডায়াল করে সম্পূর্ণ ফ্রিতে বন্ধ করতে পারবেন স্যার কাইন্ডলি কলটি ক্রয় করে দেখুন আচ্ছা আমি দুঃখিত সময় দিবেন আমি চেক করে দেখছি স্যার আমি এই মুহূর্তে তো আমাদের নাম্বারে কোনো সমস্যা দেখতে পাচ্ছি না বা নেটওয়ার্ককেও নেই সো আপনাকে কি সকল নাম্বার থেকেই কল করলে বন্ধ বলছে আচ্ছা কাইন্ডলি এই ফোনটা তো অন্য কোনো মোবাইলে একবার প্রবেশ করে দেখেছেন আচ্ছা স্যার আপনি কাইন্ডলি কলটি শেষে একটু ট্রাই করে দেখুন যে এখনো দেখাচ্ছে কিনা কারণ আমি এখান থেকে এই ধরনের কোনো সমস্যা দেখতে পাচ্ছি না আর আপনি একবার সিম কার্ডটি অন্য কোনো মোবাইলে একটু প্রবেশ করিয়ে কলিংয়ে ট্রাই করে দেখুন ওকে স্যার ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য ভালো থাকবেন,N
আসসালামু আলাইকুম সোমা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি আমি খুবই দুঃখিত আপনার আচ্ছা স্যরি স্যার বিষয়টির জন্য স্যার সেক্ষেত্রে আপনি যখন অ্যাঁ কিছুদিন আগে টাকা ব্যাকের জন্য রিকোয়েস্ট করেছিলেন তখন কিন্ত আপনাকে বলা হয়েছিলো যে আপনি শূন্য যুক্ত অ্যামাউন্ট রিচার্জ করবেন যেমন দশ বিশ ত্রিশ চল্লিশ টাকা স্যার ঠিক আছে জি স্যার আপনার এমবি পোস্টিং হয়ে গেছে কাইন্ডলি একটু জানাবেন বর্তমানে কিভাবে সহযোগিতা করতে পারি জি স্যার জি স্যার সেক্ষেত্রে স্যার আপনি পরবর্তীতে চব্বিশ টাকা রিচার্জ করবেন তাহলে দেখবেন কখনো কোনো রেগুলার অফার চালু হচ্ছে না আপনি আরো কম রেটে কথা বলতে পারবেন স্যার ঠিক আছে আমি দুঃখিত স্যার আপনি যখন পাঁচ তারিখে টাকা ব্যাকের জন্য রিকোয়েস্ট করেছিলেন আপনাকে কিন্তু জানানো হয়েছিলো ছয় মাসের মধ্যে দ্বিতীয়বার টাকা ব্যাকের রিকোয়েস্ট করা যায় না স্যার আবার আপনি জাস্ট কয়েকদিন আগের টাকা ব্যাক নিয়েছেন সো এক্ষেত্রে তো টাকা ব্যাকের রিকোয়েস্ট করা পসিবল দুঃখিত স্যার আপনাকে জানানো হয়েছে যে অ্যাঁ কিছু অ্যাঁ খুঁচরা অ্যামাউন্টে আমাদের কিছু রেগুলার প্যাকেজ রয়েছে যেগুলা সরাসরি রিচার্জের মাধ্যমে অ্যাকটিভ হয় আপনি সেক্ষেত্রে দশ বিশ ত্রিশ চল্লিশ টাকা রিচার্জ করবেন কখনো কোনো রেগুলার অফার চালু হবে না দুঃখিত স্যার টাকা ব্যাক দেওয়া পসিবল হচ্ছে না পসিবল হলে আমি অবশ্যই টাকা ব্যাকের রিকোয়েস্ট করে দিতাম দিতে পারলে আমার অনেক ভালো লাগতো বাট দুঃখিত স্যার আমি দুঃখিত আপনাকে সকল ধরনের তথ্যই জানানো হয়েছিলো স্যার সো আপনি যদি একটু ফলো করতেন কখনো প্রব্লেম হতো না স্যার আর টাকা ব্যাকের রিকোয়েস্ট করলে পারলে সত্যিই খুব ভালো লাগতো জি জি বুঝতে পেরেছি বুঝতে পেরেছি দুঃখিত কোনো ভাবেই ব্যবস্থা করা সম্ভব না স্যার সম্ভব হলে আমি প্রথমেই অবশ্যই রিকোয়েস্ট করে দিতাম ঠিক আছে এই ক্ষেত্রে কিছু করা পসিবল হচ্ছে না দুঃখিত দুঃখিত কোনো ভাবেই পসিবল না দুঃখিত দুঃখিত [স্যার সেটি আপনার ব্যক্তিগত ইস্যু] স্যার এখান থেকে তো বলতে পারি না আমাদের রুলস ছিলো ওভারঅল আপনার সুবিধার জন্য জানানো হয়েছে দুঃখিত বিষয়টির জন্য স্যার ধন্যবাদ এয়ারটেলের সাথে থাকার জন্য,A
আসসালামু আলাইকুম পরেশ বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি স্যার অবশ্যই আপনি নিকটস্থ এয়ারটেল কাস্টমার কেয়ার অথবা বায়োমেট্রিক পয়েন্টে যাওয়ার মাধ্যমে সিমটি রিপ্লেসমেন্ট করে নিতে পারবেন কাইন্ডলি জানাবেন কোন জেলা থেকে আমাকে কলটি করেছেন ঢাকা বাড্ডা থেকে তাই তো একটু সাথে থাকবেন আমাদের একটি অপশন আছে ঘরে বসেই সার্ভিসটি সম্ভব বাড্ডাতে আমাদের ডোর স্টেপ সার্ভিস আছে আপনি যদি আমাকে কিছু ইনফরমেশন দেন ,
আমরা এখন থেকে রিকোয়েস্টটি রেখে দিলে আপনার বাসায় যাওয়ার মাধ্যমে আমাদের প্রতিনিধি যাবে আমাদের আপনার বাসায় আপনার সুবিধা অনুসারে যাওয়া হবে যাওয়ার পর আপনার বাসায় যাওয়ার মাধ্যমে সার্ভিসটি দেওয়া হবে আর সিমটি রিপ্লেসমেন্ট করতে এনআইডি ইনফরমেশনের প্রয়োজন হবে যার নামে সিমটি নিবন্ধন করা আছে তার উপস্থিত থাকতে হবে কিন্তু বিষয়টি স্যার অবশ্যই পুরাতন এনআইডির ইনফরমেশনটি প্রয়োজন হবে স্যার আচ্ছা আর সিমটি রিপ্লেসমেন্ট করতে দুইশ টাকার প্রয়োজন হবে এবং আপনার বাসায় যাওয়ার মাধ্যমে সার্ভিসটির জন্য পঞ্চাশ টাকা সর্বমোট দুইশ পঞ্চাশ টাকার প্রয়োজন হবে আপনি যদি অনুমতি দেন আমি রিকোয়েস্টটি রেখে দিবো কাইন্ডলি আপনার নামটি আমাকে জানাবেন আচ্ছা মোহাম্মদ শাহাজাদা শাহাজাদা সিরাজ সিহাদ স্যরি স্যার আপনার অ্যাড্রেসটি বলবেন স্যার স্যার বুঝতে পারি নি পুনরায় যদি একটু কষ্ট করে যদি বলতেন ছয়শ ছাব্বিশ আদর্শ নগর আদর্শ নগর মধ্য বাড্ডা তাইতো মধ্য বাড্ডা ঢাকা ঠিক আছে আপনি যে নাম্বারটি রিপ্লেসমেন্ট করবেন সে নাম্বারটি একটু বলবেন জিরো ওয়ান সিক্স টু ফোর নাইন ফোর সিক্স জিরো থ্রি নাইন স্যার নাম্বারটি একটু কষ্ট করে কনফার্ম করবেন জিরো ওয়ান সিক্স টু ফোর নাইন ফোর সিক্স জিরো থ্রি নাইন ঠিক আছে স্যার আপনার সাথে যোগাযোগ করার জন্য একটি নাম্বার বলবেন জিরো ওয়ান ডাবল এইট টু জিরো ফাইভ নাইন সিক্স জিরো ফোর স্যার নাম্বারটি একটু কষ্ট করে কনফার্ম করবেন জিরো ওয়ান এইট এইট টু জিরো ফাইভ নাইন সিক্স জিরো ফোর ঠিক আছে ঠিক আছে আমি রিকোয়েস্ট রেখে দিয়েছি কাইন্ডলি ওয়েট করুন আমাদের প্রতিনিধি আপনার সাথে যোগাযোগ করবে যোগাযোগ চব্বিশ ঘন্টার মধ্যে যোগাযোগ করে আপনার সুবিধা অনুসারে আপনার বাসায় যাওয়ার মাধ্যমে সার্ভিসটি দেওয়া হবে ঠিক আছে ঠিক আছে স্যার স্যার আপনার সাথে কথা বলে অনেক ভালো লাগলো ভালো থাকবেন এয়ারটেলের সাথে থাকার জন্য আপনাকে অসংখ্য ধন্যবাদ মোস্ট ওয়েলকাম স্যার ওয়ালাইকুম আসসালাম,N
আসসালামু আলাইকুম মিতা বলছি আজকে আপনাকে কিভাবে হেল্প করতে পারি খুবই স্যরি স্যার আপনার সমস্যাটির জন্য যেহেতু আপনি কলার টিউনটা বন্ধ করতে চাচ্ছেন আপনি চাইলে স্টার ডাবল টু সেভেন ডাবল টু সেভেন নাইন ডাবল জিরো হ্যাশ ডায়াল করে সম্পূর্ণ ফ্রিতে বন্ধ করতে পারবেন আমি নিয়মটি আপনাকে এসএমএসটা পাঠাচ্ছি ঠিক আছে আমি তাহলে এখন থেকে স্যার শুধুমাত্র আপনার গানটি বন্ধ করবো নাকি আপনার সার্ভিসসহ বন্ধ করে দিবো আচ্ছা ঠিক আছে আমি অফ করে দিয়েছি কেমন আর নিয়মটি এসএমএস করে দিয়েছি পেয়ে যাবেন আশা করি নিশ্চয়ই বুঝাতে পেরেছি কাইন্ডলি কোডটি ডায়াল করে দেখবেন ঠিক আছে আর এই মুহূর্তে আপনাকে কিছু করতে হবে না এয়ারটেলের সাথে থাকার জন্য ধন্যবাদ স্যার ভালো থাকবেন আল্লাহ হাফেজ,N
আসসালামু আলাইকুম সাবিহা বলছি আজকে আপনাকে কিভাবে সহযোগিতা করতে পারি খুবই দুঃখিত বিষয়টির জন্য আটচল্লিশ পয়সা প্রতি মিনিট ভ্যাট এসডি সারচার্জ যুক্ত হয়ে চৌষট্টি পয়সা এক সেকেন্ড পালস চব্বিশ টাকা রিচার্জ করলে তিন দিন মেয়াদ আপনার তো মেয়াদ এক্সপায়ার হয়ে গিয়েছে সেই জন্য এক টাকা বিশ পয়সা সাথে ভ্যাট এসডি সারচার্জ যুক্ত হয়ে চার্জ হচ্ছে দশ সেকেন্ড পালস আপনি নিয়েছিলেন ষোলোই সেপ্টেম্বরে যার মেয়াদ থাকছে স্যার তিন দিন স্যার আপনি পুনরায় রিচার্জ করলে তখন আপনার আবার কলরেট অ্যাড হবে তিন দিন মেয়াদ থাকে তিন দিনতো ওভার হয়ে গিয়েছে স্যার আর এখন জি রিচার্জ করলে আবার তিনদিন মেয়াদ পাবেন আর এখন আপনি যদি চান সম্পূর্ণ ফ্রিতে এই কলরেটটা অ্যাড করতে পারেন স্টার ওয়ান টু থ্রি স্টার জিরো ফোর এইট হ্যাশ ডায়াল করে সাত দিনের জন্য সাত দিন পর পরবর্তী নির্দেশনা না দেওয়া পর্যন্ত যত খুশি ততবার ডায়াল করে অ্যাকটিভ করতে পারেন আমি নিয়মটি এসএমএস করে পাঠিয়ে দিয়েছি স্যার চাইলে মাই এয়ারটেল অ্যাপস থেকেও অ্যাকটিভ করতে পারবেন কথা বলে ভালো লাগলো এয়ালটেলে কল করার জন্য অসংখ্যা ধন্যবাদ স্যার ভালো থাকবেন আল্লাহ হাফেজ,A
আসসালামু আলাইকমু নাজমা বলছি আজকে আপনাকে কিভাবে সহযোগিতা করতে পারি আলহামদুলিল্লাহ আশা করছি আপনিও ভালো আছেন স্টার ডাবল সেভেন এইট স্টার জিরো হ্যাশ কোডটি ডায়াল করে আপনি আপনার রেগুলার মিনিট দেখতে পারবেন স্টার ডাবল সেভেন এইট স্টার ডাবল টু হ্যাশ কোডটি ডায়াল করে আপনার বোনাস প্যাকটি দেখতে পাবেন এছাড়া মাই এয়ারটেল অ্যাপের মাধ্যমে থেকেও দেখে নিতে পারবেন আপনার কত মিনিট অ্যাভেলেবেলে আছে আমি বর্তমান দেখতে পাচ্ছি উনিশ মিনিট পঞ্চাশ সেকেন্ড আছে এটির ভ্যালিডিটি আগামী মাসের সতেরো তারিখ রাত এগারোটা বেজে উনষাট মিনিট পর্যন্ত তথ্যটি এসএমএসের মাধ্যমে পাঠিয়ে দিয়েছি অনুরোধ করছি একটু চেক করে দেখবেন জি স্যার সময় দিবেন আমি চেক করছি আপনার এখানে এক হাজার নয়শ নব্বই মেগাবাইট আছে এটি ভ্যালিডিটি আছে আগামী আঠারো তারিখ আগামী মাসের আঠারো তারিখ পর্যন্ত স্টার থ্রি হ্যাশ কোডটি ডায়াল করবেন অথবা মাই এয়ারটেল অ্যাপের ড্যাশবোর্ড থেকে দেখে নিবেন স্যার যদি আপনি ফার্স্ট টাইম মাই এয়ারটেল অ্যাপ লগইন করে থাকেন দুইশ এমবি তিন দিন মেয়াদেরই রেগুলার ডাটা আপনি পাবেন অবশ্যই পাবেন স্যার আমি এখান থেকে লিংক পাঠিয়ে দিচ্ছি আপনি এই লিংকের মাধ্যমে যাবেন প্লে স্টোর থেকে আপনি ডাউনলোড করে লগইন করে নিবেন জি স্যার বায়োমেট্রিক না করা হলে তো সিম এখন বর্তমানে চালু করা পসিবল হচ্ছে না স্যার নিবন্ধন যদি বাতিল করে দেওয়া হয়ে থাকে তাহলে সেটি আপনি আমাদের কাস্টমার কেয়ারে চলে আসুন যদি আমাদের স্টকে অ্যাভেলেবেল থাকে তাহলে নাম্বারটি অবশ্যেই আপনি পাবেন স্যরি স্যার তাছাড়া তো পাওয়া সম্ভব নয় জি স্যার মালিকানা পরিবর্তন করে যাকে আপনি দিয়েছেন সে অবশ্যই ‍ওঠিয়ে নিতে পারবে নো প্রব্লেম তিনি যদি মারা যেয়ে থাকেন আপনার রিলেটিভ হলে আপনি মালিকানা পুনরায় পরিবর্তন করে আপনার নামে করে দ্যান আপনি নাম্বারটি উঠিয়ে নিতে পারবেন সে জন্য আপনাকে অনাশিক পরিবর্তন করতে হবে আপনাকে কিছু প্রসিডিউর ফলো করতে হবে তাহলে আপনি এটি করতে পারবেন সময় দিয়ে সহযোগিতা করবেন আমি আপনাকে জানিয়ে দিছি যিনি মারা গিয়েছেন তার অবশ্যই ডেথ সার্টিফিকেট প্রয়োজন হবে এছাড়া তার এনআইডি কার্ডের তথ্য এবং আপনার এনআইডি কার্ডের তথ্য প্রয়োজন হবে ওয়ারিশ নামা প্রয়োজন হবে এবং একটি এনওসি প্রয়োজন হবে স্যার আপনাদের এরিয়ার যে কমিশনার কিংবা আপনাদের যে ভোট কেন্দ্র সেখান থেকে আপনার নাম্বারটি অর্থাৎ যিনি মারা গিয়েছেন তার জন্য একটি প্রশংসা পত্র বলা হয়ে থাকে ওয়ারিশ নামা এটি প্রয়োজন হবে জি অবশ্যই আপনি কেয়ার থেকেও নিতে পারবেন বায়োমেট্রিক পয়েন্ট থেকেও জি অবশ্যই যাবে জি স্যার একটা রিকোয়েস্ট করতে পারি কল শেষে টু ডাবল সিক্স ডাবল সিক্স নাম্বার থেকে একটি এসএমএস যাবে আমার সাথে কথা বলে কেমন লাগলো মতামতটি জানতে চাওয়া হবে কাইন্ডলি একটু রিপ্লাই করবেন আপনার কোনো চার্জ লাগবে না জি স্যার খোলা আছে না স্যার স্যার আপনি শুক্রবার ব্যতিত আপনি করতে পারবেন জি [জি স্যার] স্যার আপনার সাইড থেকে নয়েজ হচ্ছে বাতাসের নয়েজে আপনার ভয়েজ শুনতে পাচ্ছি না স্যার আপনি এমএনপি করে নিলে আপনার নাম্বারটি সাথে সাথে অ্যাকটিভ করে দেওয়া হবে ত্রিশ মিনিটের মধ্যে সবকিছু আপডেট করা হবে চব্বিশ ঘন্টার মধ্যে আপনার নাম্বারটি টোটালি আপডেট হয়ে যাবে বুঝতে পারি নি [একটু জোরো কথা বলবেন] প্লিজ জি করতে পারবেন ধন্যবাদ এয়ারটেলে কল করার জন্য,A
